result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
9.14,,AFG,Toronto,CAN,2011-06-14,Farkhunda Muhtaj,,Female,TJ,NR
12.34,+0.2,AHO,Sittard,NED,2010-06-06,Maruska Eduarda,1991,Female,TJ,NR
13.74,+0.6,AIA,Greensboro NC,USA,2009-05-30,Shara Proctor,1988,Female,TJ,NR
13.50,,ALB,Durres,ALB,1996-05-10,Vera Bitanji,1969,Female,TJ,NR
14.98,+0.2,ALG,Almería,ESP,2005-07-01,Baya Rahouli,1979,Female,TJ,NR
12.21,0.0,AND,Andorra,AND,2007-07-01,Montserrat Pujol,1979,Female,TJ,NR
13.49,+1.8,ANG,Angers,FRA,2002-07-27,Teresa Nzola Meso Ba,1983,Female,TJ,NR
12.30,-0.3,ANT,Hobbs NM,USA,2023-05-20,Alyssa Dyett,2005,Female,TJ,NR
13.91,,ARG,Lima,PER,1993-07-09,Andrea Ávila,1970,Female,TJ,NR
13.56,+1.9,ARM,Alexándria GRE,GRE,2022-05-17,Kristína Alvertsián,1990,Female,TJ,NR
11.99,+0.3,ARU,Tilburg,NED,2018-05-21,Judeska Sheppard,1999,Female,TJ,NR
8.72,,ASA,Utulei,ASA,1992-09-04,Ira Ripine,,Female,TJ,NR
14.04,+2.0,AUS,Hobart,AUS,2002-03-09,Nicole Mladenis,1975,Female,TJ,NR
13.75,-0.2,AUT,Linz,AUT,1997-07-09,Ljudmila Ninova,1960,Female,TJ,NR
13.89,+1.0,AZE,Almaty,KAZ,2023-07-02,Yekaterina Sariyeva,1995,Female,TJ,NR
14.03,+1.0,BAH,Philadelphia PA,USA,2017-04-29,Tamara Myers,1993,Female,TJ,NR
13.35,+0.2,BAR,Austin TX,USA,2008-04-04,Seidre Forde,1985,Female,TJ,NR
10.89,,BDI,Butare,BDI,2015-08-21,Amissa Noëlla,,Female,TJ,NR
14.55,+2.0,BEL,Barcelona,ESP,2010-07-31,Svetlana Bolshakova,1984,Female,TJ,NR
12.69,,BEN,Porto Novo,BEN,2018-07-15,Mariam Issifou,1994,Female,TJ,NR
13.08,+1.4,BER,Orlando FL,USA,2012-03-24,Jasmine Brunson,1991,Female,TJ,NR
9.80,,BHU,Thimphu,BHU,2016-07-08,Tenzin Choden,,Female,TJ,NR
12.92,,BIH,Sarajevo,BIH,2010-07-04,Andjela Kovacevic,1993,Female,TJ,NR
12.79,,BIZ,Los Angeles CA,USA,1996-05-04,Althea Moses,1970,Female,TJ,NR
14.76,+0.5,BLR,Brest,BLR,2012-05-26,Aksinnia Dzetsuk,1986,Female,TJ,NR
13.37,+0.2,BOL,Cochabamba,BOL,2018-06-07,Valeria Quispe,1997,Female,TJ,NR
12.78,+1.8,BOT,Gaborone,BOT,2018-04-29,Titose Chlume,1993,Female,TJ,NR
14.69,+1.3,BRA,Sotteville-lès-Rouen,FRA,2018-07-17,Nubia Soares,1996,Female,TJ,NR
13.32,+1.9,BRN,Manama,BRN,2015-04-27,Mary Amiata Otaruah,1994,Female,TJ,NR
10.58,,BRU,Bandar Seri Begawan,BRU,2009-12-02,Nuramalina Binti Bakir,,Female,TJ,NR
15.20,-0.3,BUL,Sydney,AUS,2000-09-24,Tereza Marinova,1977,Female,TJ,NR
13.63,+1.3,BUR,Ouagadougou,BUR,2001-05-20,Chantal Ouaba,1975,Female,TJ,NR
12.12,,CAF,Réduit,MRI,1999-05-04,Maria-Joëlle Conjungo,1975,Female,TJ,NR
10.80,,CAM,Phnom Penh,CAM,2018-12-24,Seyha Chan,1994,Female,TJ,NR
14.03,+0.8,CAN,London ON,CAN,2023-05-28,Caroline Ehrhardt,1992,Female,TJ,NR
11.11,,CAY,George Town,CAY,2005-03-19,Opal Bodden,,Female,TJ,NR
12.73,,CGO,Johannesburg,RSA,1999-09-18,Masaka Youlou,,Female,TJ,NR
10.98,,CHA,N'Djamena,CHA,1996-07-04,Haoua Nouta Mantangor,,Female,TJ,NR
13.40,+1.8,CHI,Bydgoszcz,POL,2016-07-23,Norka Moretic,1998,Female,TJ,NR
14.90,+1.0,CHN,Urumqi,CHN,2007-09-20,Xie Limei,1986,Female,TJ,NR
13.35,+1.5,CIV,Paris,FRA,2013-12-07,Celia-Christelle M'boua,,Female,TJ,NR
15.39,+0.5,CMR,Beijing,CHN,2008-08-17,Françoise Mbango,1976,Female,TJ,NR
12.99,,COD,Vénissieux,FRA,1996-07-14,Carine Kanda,1980,Female,TJ,NR
10.73,,COK,Suva,FIJ,1993-06-24,Erin Tierney,1970,Female,TJ,NR
15.31,0.0,COL,Monaco,MON,2014-07-18,Caterine Ibargüen,1984,Female,TJ,NR
11.32,+2.0,COM,Marseille,FRA,2017-11-06,Fatouma Kari,1983,Female,TJ,NR
11.85,+1.1,CPV,Almada,POR,2000-04-08,Luciliana Evora,,Female,TJ,NR
12.03,+0.2,CRC,San José3,CRC,2021-05-30,Amanda Muñoz,2004,Female,TJ,NR
13.71,+1.4,CRO,Ljubljana,SLO,1995-05-21,Silvija Mrakovcic,1968,Female,TJ,NR
15.28,+0.9,CUB,Osaka,JPN,2007-08-31,Yargelis Savigne,1984,Female,TJ,NR
13.94,0.0,CYP,Lemessos,CYP,2012-07-05,Nina Serbezova,1981,Female,TJ,NR
15.20,0.0,CZE,Athína,GRE,1997-08-04,Šárka Kašpárková,1971,Female,TJ,NR
13.99,+0.8,DEN,Albi,FRA,2020-09-13,Janne Nielsen,1993,Female,TJ,NR
14.90,-0.2,DMA,Budapest,HUN,2023-08-25,Thea LaFond,1994,Female,TJ,NR
14.52,+0.5,DOM,Eugene OR,USA,2022-07-16,Ana José Tima,1989,Female,TJ,NR
14.05,0.0,ECU,Medellín,COL,2019-05-01,Liuba M. Zaldívar,1993,Female,TJ,NR
13.57,+0.6,EGY,Oran,ALG,2023-07-07,Esraa Owis,1997,Female,TJ,NR
10.64,+1.0,ERI,Klagenfurt,AUT,2018-09-19,Arsema Kifle,,Female,TJ,NR
12.81,,ESA,San Salvador,ESA,2006-04-09,Maria Carrillo,1984,Female,TJ,NR
14.87,+0.5,ESP,Tokyo,JPN,2021-08-01,Ana Peleteiro,1995,Female,TJ,NR
14.43,+0.6,EST,Beijing,CHN,2006-08-17,Kaire Leibak,1988,Female,TJ,NR
13.29,,ETH,Addis Ababa,ETH,2024-01-31,Ajuda Umed,,Female,TJ,NR
12.86,-0.7,FIJ,Claremont CA,USA,2013-04-13,Milika Tuivanuavou,1990,Female,TJ,NR
14.64,-0.4,FIN,München,GER,2022-08-19,Kristiina Mäkelä,1992,Female,TJ,NR
14.69,+2.0,FRA,München,GER,2007-06-23,Teresa Nzola Meso Ba,1983,Female,TJ,NR
9.86,,FSM,Santa Rita,GUM,1999-08-06,Angie Nedelec,,Female,TJ,NR
